0.000000,0.000000,0.000000
0.000000,0.500000,0.400000
0.000000,1.000000,0.800000
0.000000,1.500000,1.200000
0.000000,2.000000,1.600000
0.000000,2.500000,2.000000
0.000000,3.000000,2.400000
0.000000,3.500000,2.800000
0.000000,4.000000,3.200000
0.000000,4.500000,3.600000
0.000000,5.000000,4.000000
0.500000,4.500000,4.100000
1.000000,4.000000,4.200000
1.500000,3.500000,4.300000
2.000000,3.000000,4.400000
2.500000,2.500000,4.500000
3.000000,2.000000,4.600000
3.500000,1.500000,4.700000
4.000000,1.000000,4.800000
4.500000,0.500000,4.900000
5.000000,0.000000,5.000000
4.510000,0.000000,4.510000
4.020000,0.000000,4.040000
3.530000,0.000000,3.590000
3.040000,0.000000,3.160000
2.550000,0.000000,2.750000
2.060000,0.000000,2.360000
1.570000,0.000000,1.990000
1.080000,0.000000,1.640000
0.590000,0.000000,1.310000
